ticker,company,headline,datetime
BEKE,KE Holdings Inc.,KE Holdings Inc. - Depositary Receipt () (BEKE) Price Target Decreased by 6.44% to 18.54,1715213026.0
CNA,CNA Financial Corporation,"Insider Sale: EVP & CAO Daniel Franzetti Sells 23,301 Shares of CNA Financial Corp (CNA)",1715217321.0
COMP,"Compass, Inc.","Dow Jones Futures: S&P 500 Holds, Toast Leads 5 New Buys; Robinhood, Arm Are Earnings Movers Late",1715202483.0
ET,Energy Transfer LP,Energy Transfer (ET) Q1 2024 Earnings Call Transcript,1715215512.0
HAE,Haemonetics Corporation,"Insider Sale at Haemonetics Corp (HAE): EVP, Chief Technology Officer Anila Lingamneni Sells ...",1715217333.0
KVYO,"Klaviyo, Inc.",Klaviyo (KVYO) Q1 2024 Earnings Call Transcript,1715219115.0
MNSO,MINISO Group Holding Limited,MINISO Group Holding Limited - Depositary Receipt () (MNSO) Price Target Increased by 5.01% to 25.58,1715213026.0
SPGI,S&P Global Inc.,The S&P 500 could add this popular tech stock next,1715216580.0
SPGI,S&P Global Inc.,S&P Global Market Intelligence Global Bank Ranking: Chinese Banks Maintain Dominance in 2023 Despite Economic Headwinds,1715212800.0
THG,"The Hanover Insurance Group, Inc.",Insider Sale: Executive Vice President Willard Lee Sells Shares of The Hanover Insurance Group ...,1715217355.0
UGP,Ultrapar Participações S.A.,Ultrapar Participações S.A. - Depositary Receipt () (UGP) Price Target Increased by 6.01% to 5.87,1715213026.0
VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",Volaris Celebrates Frontier Airlines’ Reactivation of the Codeshare Agreement Between Both Airlines,1715216940.0
CPRT,"Copart, Inc.","Copart, Inc. to Release Third Quarter Fiscal 2024 Results",1715213400.0
GWRS,"Global Water Resources, Inc.","Global Water Resources, Inc. (GWRS) Q1 Earnings Meet Estimates",1715212803.0
NVDA,NVIDIA Corporation,ARM shares tumble despite great earnings,1715221714.0
PAHC,Phibro Animal Health Corporation,Phibro (PAHC) Reports Q3 Earnings: What Key Metrics Have to Say,1715212808.0
SITM,SiTime Corporation,SiTime (SITM) Q1 2024 Earnings Call Transcript,1715213716.0
SSRM,SSR Mining Inc.,SSR Mining (SSRM) Q1 2024 Earnings Call Transcript,1715220017.0
TMDX,"TransMedics Group, Inc.",Insider Sale: Director Edward Basile Sells Shares of TransMedics Group Inc (TMDX),1715217363.0
TTD,"The Trade Desk, Inc.",The Trade Desk (TTD) Q1 2024 Earnings Call Transcript,1715212817.0
ticker,company,headline,datetime
COMP,"Compass, Inc.",Dow Jones Rises Again; Nvidia Chipmaker Taiwan Semi On Tap With 5 AI Stocks Near Buy Points,1715289673.0
LPX,Louisiana-Pacific Corporation,Seaport Global Downgrades Louisiana-Pacific (LPX),1715304833.0
SHOP,Shopify Inc.,Cathie Wood goes bargain hunting in beat-down tech stocks,1715301180.0
SHOP,Shopify Inc.,JMP Securities Upgrades Shopify (SHOP),1715300331.0
TSM,Taiwan Semiconductor Manufacturing Company Limited,Dow Jones Rises Again; Nvidia Chipmaker Taiwan Semi On Tap With 5 AI Stocks Near Buy Points,1715289673.0
WTTR,"Select Water Solutions, Inc.",Citigroup Upgrades Select Water Solutions (WTTR),1715300430.0
AMAT,"Applied Materials, Inc.",Dow Jones Rises Again; Nvidia Chipmaker Taiwan Semi On Tap With 5 AI Stocks Near Buy Points,1715289673.0
LEGH,Legacy Housing Corporation,"Compared to Estimates, Legacy Housing (LEGH) Q1 Earnings: A Look at Key Metrics",1715301002.0
LEGH,Legacy Housing Corporation,Legacy Housing (LEGH) Tops Q1 Earnings and Revenue Estimates,1715299203.0
MSFT,Microsoft Corporation,UPDATE 1-US lawmakers unveil bill to make it easier to restrict exports of AI models,1715308861.0
EQX,Equinox Gold Corp.,Equinox Gold Announces Results from Annual Shareholder Meeting,1715301360.0
